,rowIndex,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,ClaimAmount
332,332,0.052,369,8,1,0,32,1,56,0,50,5,10,5,1,5,5,18,0,0.0
337,337,0.249,179,3,1,1,44,2,33,0,85,5,13,5,3,9,4,8,1,0.0
338,338,0.514,388,3,0,0,32,2,53,0,50,2,13,5,3,9,5,13,1,0.0
371,371,0.666,237,7,0,1,32,1,39,1,50,5,9,5,1,6,4,13,1,0.0
396,396,0.594,131,2,1,1,32,0,30,0,85,5,14,5,3,9,5,8,1,0.0
399,399,0.102,348,2,1,0,32,3,47,0,55,6,16,5,1,4,3,13,0,0.0
415,415,0.794,22,3,0,1,10,1,22,0,90,2,4,5,3,1,1,16,2,0.0
419,419,0.583,178,6,1,0,20,0,33,0,100,5,9,5,1,4,5,14,1,0.0
420,420,0.364,285,6,1,0,34,0,48,1,112,5,10,5,1,5,4,10,0,0.0
426,426,0.314,93,7,1,0,32,0,27,1,80,5,11,5,1,6,5,19,1,0.0
443,443,0.25,226,6,1,0,32,1,37,0,55,6,14,5,1,2,3,8,1,0.0
444,444,0.045,113,4,1,0,32,0,27,1,66,1,6,5,3,1,1,2,2,0.0
457,457,0.333,41,2,1,0,32,2,27,0,85,1,4,5,3,1,1,8,1,0.0
498,498,0.974,390,5,1,0,44,2,51,0,50,7,15,5,1,8,3,17,0,0.0
501,501,1.0,331,2,1,0,0,2,46,0,50,6,13,5,1,4,3,8,1,0.0
513,513,0.394,246,5,1,0,32,2,39,0,57,7,12,5,3,8,5,16,1,0.0
530,530,0.563,275,6,1,0,32,1,43,0,68,3,13,5,3,7,3,19,1,0.0
574,574,0.177,297,2,1,1,32,1,46,0,55,5,15,5,3,8,3,12,1,0.0
582,582,0.002,500,0,1,0,29,2,60,0,50,2,5,5,3,1,1,14,1,0.0
591,591,0.267,88,2,0,1,10,1,25,0,68,2,4,5,3,1,1,5,1,0.0
597,597,0.4,440,6,0,0,32,0,62,0,50,5,12,5,3,8,4,16,1,0.0
598,598,0.166,159,7,0,0,32,1,32,0,71,5,5,5,1,4,2,15,1,0.0
603,603,0.186,215,7,1,0,0,2,52,0,76,5,11,5,1,6,5,15,1,0.0
615,615,0.2,488,3,0,0,32,0,59,1,97,2,1,5,3,1,1,13,0,0.0
643,643,0.25,481,6,1,0,39,0,62,0,50,2,15,5,3,9,3,13,2,0.0
645,645,0.666,147,6,1,0,27,2,43,0,61,8,9,5,1,3,0,12,1,0.0
652,652,0.25,171,7,0,1,34,1,32,0,90,5,9,5,1,7,5,12,1,0.0
653,653,0.91,261,6,1,0,27,2,41,0,72,7,12,5,3,5,3,15,1,0.0
656,656,0.583,394,5,1,0,29,2,55,0,50,6,18,5,1,4,3,15,0,0.0
658,658,0.098,477,6,0,0,32,1,58,0,50,3,15,5,1,5,3,17,0,0.0
684,684,0.038,119,3,1,0,0,2,31,0,60,1,5,5,3,1,1,10,1,0.0
687,687,0.826,60,1,0,0,32,1,26,0,85,2,3,5,3,1,1,1,1,0.0
689,689,0.416,299,8,0,1,32,0,43,1,68,1,14,5,3,6,3,12,2,0.0
695,695,0.583,268,5,0,0,32,0,40,0,80,3,14,5,1,5,3,14,1,0.0
707,707,0.006,484,3,1,0,20,0,58,0,50,2,4,5,3,1,1,16,0,0.0
709,709,0.25,149,7,0,0,32,1,31,0,60,5,10,5,1,5,5,13,1,0.0
740,740,0.27,431,6,1,0,32,1,55,0,50,5,15,5,1,8,3,8,0,0.0
744,744,0.196,363,6,0,0,32,1,49,1,85,7,8,5,1,5,4,16,2,0.0
758,758,0.083,72,8,1,1,34,0,25,0,95,5,7,5,1,3,4,13,1,0.0
770,770,0.749,357,8,0,0,34,1,48,0,50,7,10,5,1,5,5,13,1,0.0
771,771,0.083,94,1,0,1,32,1,27,0,90,1,9,5,3,5,1,7,1,0.0
809,809,0.577,173,1,1,0,32,1,42,0,73,6,13,5,1,3,3,17,0,0.0
816,816,0.002,259,0,0,0,25,3,51,0,53,1,14,5,3,8,4,16,2,0.0
817,817,0.75,430,0,1,0,32,1,55,0,60,2,5,5,3,1,1,16,1,0.0
821,821,0.083,384,6,0,0,34,0,50,1,50,5,8,5,1,5,4,13,1,0.0
833,833,0.249,408,3,1,0,32,1,52,0,50,2,3,5,3,1,1,4,1,0.0
846,846,0.583,279,2,1,0,34,2,41,0,50,0,11,5,1,0,0,15,1,0.0
856,856,0.916,550,7,1,0,0,0,64,1,50,4,13,5,1,4,3,18,0,0.0
867,867,0.555,73,2,0,1,10,1,24,0,95,1,4,5,3,1,1,16,1,1074.03
873,873,0.434,444,0,1,0,0,1,62,1,55,2,5,5,3,1,1,1,1,0.0
878,878,0.469,315,8,1,0,32,1,48,0,85,7,13,5,1,6,3,20,1,0.0
904,904,0.322,93,8,1,0,32,1,26,0,76,8,8,5,1,4,4,16,1,0.0
912,912,0.749,266,3,0,0,44,2,46,0,54,1,5,5,3,1,1,17,1,0.0
919,919,0.083,324,0,1,0,32,1,45,0,50,2,4,5,3,1,1,16,0,0.0
921,921,0.363,291,1,1,0,0,1,42,0,50,5,15,5,3,9,5,15,0,0.0
942,942,0.833,425,4,1,0,32,1,53,0,50,5,11,5,1,7,5,5,0,0.0
943,943,0.75,134,0,1,0,29,1,32,0,80,1,5,5,3,1,1,12,1,0.0
952,952,0.75,473,0,1,0,0,2,58,0,57,1,5,5,3,1,1,16,2,0.0
955,955,0.983,331,2,1,1,32,3,53,0,100,1,5,5,3,1,1,15,1,77.75
958,958,0.75,466,1,1,0,39,0,68,0,50,1,14,5,3,9,4,16,2,0.0
961,961,0.005,189,6,0,0,34,0,46,0,91,5,10,5,1,5,5,13,0,0.0
967,967,0.249,143,1,1,0,29,1,33,0,76,1,5,5,3,1,1,12,1,0.0
981,981,1.0,215,3,1,0,32,0,38,0,50,6,12,5,3,7,3,16,0,0.0
1032,1032,0.5,321,8,1,0,32,1,45,0,50,5,13,5,1,7,3,19,1,0.0
1050,1050,0.505,277,6,1,0,29,2,41,0,57,6,14,5,1,3,3,18,1,0.0
1052,1052,0.499,202,5,1,0,32,1,35,0,60,3,13,5,1,5,3,16,1,0.0
1057,1057,0.285,554,1,0,0,32,2,65,0,50,2,13,5,3,9,5,17,2,0.0
1059,1059,0.416,377,2,0,0,20,0,49,0,118,1,17,5,3,9,3,8,0,1941.94
1078,1078,0.023,172,2,0,0,32,0,34,0,50,2,12,5,3,8,3,4,0,0.0
1092,1092,0.416,478,2,1,0,32,1,57,1,50,2,15,5,3,9,3,11,0,0.0
1099,1099,0.174,268,5,1,0,32,0,42,0,85,2,4,5,3,1,1,13,0,0.0
1109,1109,0.564,341,8,0,0,32,2,47,0,50,1,17,5,3,7,3,16,2,0.0
1121,1121,0.083,180,1,0,0,32,1,33,0,68,2,3,5,3,1,1,6,1,0.0
1144,1144,0.435,215,5,1,1,34,1,36,0,60,5,11,5,1,6,5,12,1,0.0
1206,1206,0.592,125,8,1,0,32,1,30,0,57,5,15,5,3,8,3,18,1,0.0
1224,1224,0.249,354,7,1,0,0,0,51,0,50,6,19,5,3,9,5,8,2,0.0
1236,1236,0.811,385,6,0,0,0,2,52,0,50,5,8,5,1,5,4,11,2,0.0
1250,1250,0.922,110,6,1,0,32,1,41,1,106,5,11,5,1,7,5,16,1,0.0
1258,1258,0.833,350,0,1,0,32,2,48,0,50,4,15,5,3,7,3,17,2,0.0
1262,1262,0.583,101,8,1,1,32,0,26,0,100,5,7,5,1,5,2,16,1,0.0
1278,1278,0.333,310,6,1,0,0,1,45,0,50,7,11,5,3,6,3,11,0,0.0
1316,1316,0.433,152,4,1,0,0,2,31,0,95,6,15,5,3,9,4,4,2,0.0
1322,1322,0.955,183,7,1,1,32,0,37,1,50,5,7,5,1,4,2,19,1,0.0
1334,1334,0.534,296,8,0,0,32,2,45,0,50,5,13,5,3,8,3,16,1,0.0
1350,1350,0.333,489,0,1,0,34,0,60,0,56,3,14,5,3,8,3,8,2,0.0
1362,1362,0.214,557,0,0,0,32,2,65,0,50,2,14,5,3,9,5,17,2,0.0
1375,1375,0.75,350,1,0,0,32,1,49,0,50,6,13,5,3,9,4,12,2,0.0
1377,1377,0.666,366,2,0,0,32,1,50,0,60,2,3,5,3,1,1,16,1,0.0
1383,1383,0.333,244,8,0,0,32,0,53,0,100,5,10,5,1,5,5,17,1,0.0
1389,1389,0.916,340,1,1,0,25,2,47,0,87,5,20,5,3,9,3,9,0,0.0
1390,1390,0.116,332,4,1,0,32,1,48,0,50,3,12,5,3,7,3,14,0,0.0
1403,1403,0.342,346,3,1,0,0,2,58,0,50,5,13,5,3,8,3,18,1,0.0
1425,1425,0.499,242,3,1,0,32,1,42,0,50,2,11,5,3,8,3,7,0,0.0
1446,1446,0.083,195,7,1,1,32,0,35,0,72,1,16,5,3,9,3,16,0,0.0
1460,1460,0.25,150,8,1,1,32,0,38,0,72,5,9,5,1,4,4,11,1,0.0
1481,1481,0.83,382,8,1,0,32,1,58,0,50,5,10,5,1,4,5,14,1,0.0
1501,1501,0.333,306,4,0,0,32,2,45,0,50,7,8,5,1,5,4,11,2,0.0
1508,1508,0.166,175,5,1,1,30,1,32,0,76,5,15,5,1,7,3,9,1,0.0
1540,1540,0.249,381,6,1,0,25,1,55,0,65,3,12,5,1,5,3,11,1,0.0
1549,1549,0.25,519,8,1,0,39,0,65,0,50,1,14,5,3,8,3,5,0,0.0
1558,1558,0.546,288,3,0,0,32,1,43,0,50,2,2,5,3,1,1,9,1,0.0
1574,1574,0.5,21,3,0,1,32,0,27,0,95,6,13,5,1,2,3,16,2,0.0
1581,1581,0.304,307,5,1,0,34,1,55,0,50,5,12,5,3,8,4,16,0,0.0
1593,1593,0.333,326,3,0,0,32,1,46,0,50,2,14,5,3,9,4,5,1,0.0
1642,1642,0.375,223,5,1,0,25,0,36,0,50,6,18,5,3,9,5,20,0,0.0
1660,1660,0.166,335,1,1,0,0,2,47,0,59,6,12,5,1,2,3,5,2,0.0
1695,1695,0.749,214,7,0,1,32,0,35,0,60,5,9,5,1,5,5,17,1,0.0
1715,1715,0.844,523,4,1,0,29,3,61,0,50,8,10,5,1,3,0,17,1,0.0
1755,1755,0.916,293,7,1,0,32,1,43,0,50,5,11,5,1,5,5,7,1,0.0
1756,1756,1.0,394,2,1,0,0,0,51,1,50,2,4,5,3,1,1,18,1,0.0
1763,1763,0.499,533,5,1,0,0,2,64,0,50,5,11,5,1,6,5,13,1,0.0
1764,1764,0.661,383,6,1,0,29,2,49,0,63,3,12,5,1,4,3,18,1,0.0
1766,1766,0.208,205,3,1,0,27,2,42,0,50,4,11,5,1,4,5,14,1,0.0
1775,1775,0.749,291,4,1,0,32,1,44,0,50,4,14,5,1,5,3,13,0,0.0
1792,1792,0.41,363,8,1,0,34,0,49,1,50,5,12,5,1,5,3,15,1,0.0
1794,1794,0.833,374,6,1,0,32,2,50,0,50,7,15,5,3,8,3,16,1,0.0
1795,1795,0.071,467,0,0,1,32,1,57,0,50,2,2,5,3,1,1,15,1,0.0
1812,1812,0.277,239,8,1,0,32,0,39,0,80,5,9,5,1,6,5,14,1,0.0
1814,1814,0.583,457,6,1,0,39,0,68,1,50,5,10,5,1,5,5,17,2,0.0
1818,1818,0.333,418,5,1,0,44,2,53,0,76,4,13,5,3,7,3,16,1,0.0
1828,1828,0.499,470,8,1,0,39,0,63,0,50,5,17,5,3,9,3,3,0,0.0
1842,1842,0.25,152,6,1,0,32,1,35,0,100,5,12,5,1,7,5,19,1,0.0
1847,1847,0.169,109,3,0,1,32,1,29,0,100,2,5,5,3,1,1,16,1,0.0
1855,1855,0.021,211,7,0,0,0,1,53,0,50,5,8,5,1,5,4,6,1,0.0
1861,1861,0.368,293,0,0,0,32,0,42,0,57,3,15,5,3,7,3,18,1,0.0
1870,1870,0.583,351,8,1,0,27,1,47,0,52,5,13,5,3,9,5,20,1,0.0
1873,1873,0.5,159,8,1,1,32,0,31,1,90,5,14,5,1,7,3,12,1,0.0
1877,1877,0.833,66,3,1,1,32,2,27,0,85,6,15,5,3,9,4,16,0,163.48
1878,1878,0.463,314,3,1,0,27,2,57,0,52,7,11,5,1,6,5,14,1,0.0
1886,1886,0.752,289,6,1,0,34,0,42,0,50,4,12,5,3,7,3,13,1,0.0
1895,1895,0.105,535,1,1,0,39,0,67,0,62,5,16,5,3,9,3,11,0,0.0
1897,1897,0.381,628,6,0,0,39,0,70,0,50,5,11,5,1,7,5,15,1,0.0
1903,1903,0.127,184,1,1,0,34,1,33,0,59,6,13,5,1,2,3,12,2,0.0
1922,1922,0.072,396,5,1,0,32,0,51,0,50,7,9,5,1,5,4,19,1,0.0
1934,1934,0.416,610,2,1,0,39,0,76,0,50,2,13,5,3,9,5,7,0,0.0
1939,1939,0.083,180,1,0,0,32,1,33,0,68,2,3,5,3,1,1,6,1,0.0
1946,1946,0.055,242,8,1,0,11,0,39,1,80,5,9,5,1,6,5,14,1,0.0
2004,2004,0.196,255,5,1,0,25,3,39,0,50,4,14,5,1,5,3,5,1,0.0
2006,2006,0.416,297,5,1,0,32,2,43,0,50,3,13,5,1,5,3,19,1,0.0
2019,2019,0.333,250,6,0,0,32,0,39,0,95,4,10,5,1,5,4,13,1,0.0
2028,2028,0.852,24,1,1,1,10,1,20,0,90,1,5,5,3,1,1,19,1,0.0
2045,2045,0.099,246,2,1,0,29,1,40,0,50,1,17,5,3,9,3,16,0,0.0
2059,2059,0.214,557,0,0,0,32,2,65,0,50,2,14,5,3,9,5,17,2,0.0
2080,2080,0.116,309,1,1,0,32,1,44,0,50,6,15,5,1,3,3,8,0,0.0
2089,2089,0.263,161,4,0,0,34,1,33,0,51,4,13,5,1,5,3,15,1,0.0
2092,2092,0.021,263,2,1,0,32,2,42,0,50,1,16,5,3,8,3,18,2,0.0
2105,2105,0.042,396,5,0,0,29,0,52,1,50,5,12,5,1,7,3,15,1,0.0
2156,2156,0.249,164,0,1,1,32,1,32,0,100,2,3,5,3,1,1,16,2,0.0
2170,2170,0.695,310,5,1,0,34,1,55,0,50,5,12,5,3,8,4,16,0,0.0
2172,2172,0.749,486,5,1,0,32,1,58,0,50,2,4,5,3,1,1,7,1,0.0
2188,2188,0.125,430,7,1,0,32,1,54,0,50,5,12,5,1,5,3,19,0,0.0
2200,2200,0.413,163,3,0,1,32,1,32,0,60,2,1,5,3,1,1,18,1,0.0
2205,2205,0.25,141,4,1,0,32,2,42,0,68,8,11,5,1,6,0,10,1,0.0
2248,2248,0.308,248,0,0,1,32,0,44,1,80,2,12,5,3,9,5,7,1,0.0
2249,2249,0.75,372,0,1,0,32,2,49,0,56,5,17,5,3,9,3,20,2,0.0
2260,2260,0.416,108,2,1,0,29,2,29,0,76,1,5,5,3,1,1,11,1,0.0
2269,2269,0.166,443,6,0,0,39,0,73,0,50,5,9,5,1,5,4,17,0,0.0
2280,2280,0.416,369,3,1,0,32,1,51,0,50,3,12,5,3,7,3,9,1,1204.0
2289,2289,0.347,94,4,1,0,32,1,29,0,124,6,12,5,3,9,5,10,1,602.0
2304,2304,0.083,312,3,1,0,32,2,52,0,50,3,12,5,1,3,3,15,1,0.0
2323,2323,0.583,177,8,1,0,10,1,33,0,95,5,10,5,1,4,4,16,1,0.0
2347,2347,0.173,158,7,1,0,32,1,36,0,100,3,13,5,1,3,3,14,1,0.0
2356,2356,0.249,178,6,1,0,32,2,34,0,52,3,14,5,1,5,3,7,2,0.0
2361,2361,0.499,107,2,0,1,32,1,30,0,90,2,2,5,3,1,1,17,1,0.0
2362,2362,0.25,272,4,1,0,29,2,53,0,54,3,12,5,1,5,3,19,1,0.0
2372,2372,0.333,329,8,1,0,32,1,45,0,50,5,11,5,1,5,3,19,1,0.0
2375,2375,0.561,112,3,1,0,32,1,27,0,80,2,2,5,3,1,1,15,1,0.0
2377,2377,0.158,279,0,1,0,32,2,41,0,50,6,17,5,3,8,3,9,0,0.0
2391,2391,1.0,153,5,0,1,32,1,31,0,51,5,12,5,3,8,4,17,1,0.0
2432,2432,0.666,28,2,0,1,34,1,30,0,100,5,9,5,1,4,4,20,0,0.0
2453,2453,0.118,77,3,1,1,34,0,24,1,72,2,2,5,3,1,1,15,1,0.0
2464,2464,0.826,60,1,0,0,32,1,26,0,85,2,3,5,3,1,1,1,1,0.0
2468,2468,0.688,360,5,1,0,39,0,60,0,50,5,14,5,3,9,5,16,2,0.0
2491,2491,0.71,212,3,1,0,27,0,35,1,54,2,2,5,3,1,1,17,1,1326.0
2495,2495,0.249,412,8,1,0,25,3,54,0,72,7,15,5,1,6,3,16,1,0.0
2501,2501,0.166,175,5,1,1,30,1,32,0,76,5,15,5,1,7,3,9,1,0.0
2512,2512,0.499,118,4,1,1,32,1,28,0,60,5,13,5,1,7,3,12,1,0.0
2555,2555,0.166,459,3,1,0,27,2,62,0,58,4,13,5,1,5,3,11,1,0.0
2572,2572,0.583,250,2,0,1,25,2,44,0,50,2,14,5,3,9,4,16,1,0.0
2580,2580,0.002,236,0,1,0,32,1,38,0,50,6,18,5,3,8,3,7,0,0.0
2589,2589,0.045,284,8,1,0,32,1,48,0,51,6,13,5,1,1,3,11,1,0.0
2597,2597,0.083,445,6,1,0,32,1,55,0,50,3,14,5,1,3,3,12,1,0.0
2605,2605,0.249,571,8,1,0,27,1,72,0,50,5,13,5,1,7,3,17,1,0.0
2606,2606,0.482,408,6,1,0,29,1,52,0,76,4,13,5,1,4,3,4,2,0.0
2618,2618,0.41,402,6,1,0,38,3,55,0,50,5,16,5,1,8,3,12,0,0.0
2627,2627,0.214,551,0,0,1,0,0,63,1,50,2,5,5,3,1,1,16,1,0.0
2637,2637,0.166,460,1,0,0,32,1,58,0,50,5,13,5,3,8,4,8,1,0.0
2668,2668,0.062,211,8,1,0,0,1,47,1,85,5,17,5,1,8,3,14,0,0.0
2688,2688,0.583,245,8,1,0,34,0,45,0,72,4,13,5,1,4,3,7,1,0.0
2699,2699,1.0,673,6,1,0,39,0,76,0,69,6,10,5,1,2,4,6,1,0.0
2705,2705,0.5,304,8,0,1,32,0,43,1,64,1,14,5,3,6,3,12,2,0.0
2709,2709,0.166,584,1,1,0,39,0,72,0,57,5,16,5,3,9,3,12,0,0.0
2720,2720,0.333,344,2,1,0,20,0,48,0,100,1,5,5,3,1,1,20,1,0.0
2739,2739,0.778,125,0,0,1,32,1,41,0,76,2,4,5,3,1,1,7,1,0.0
2780,2780,0.117,609,5,1,0,39,0,71,0,50,5,17,5,3,9,3,16,2,0.0
2792,2792,0.833,494,3,1,1,39,0,60,0,50,1,15,5,3,8,3,11,2,0.0
2811,2811,0.416,290,5,0,1,32,0,47,0,50,8,5,5,1,3,4,13,1,0.0
2827,2827,0.874,316,6,1,0,32,1,48,0,94,5,14,5,1,7,3,7,1,0.0
2828,2828,0.669,275,2,1,0,32,1,41,0,50,5,16,5,3,9,3,16,2,0.0
2832,2832,0.499,614,7,1,0,39,0,72,0,50,5,11,5,3,8,4,10,0,0.0
2841,2841,0.583,299,4,0,0,32,1,44,0,50,3,14,5,1,5,3,14,1,0.0
2899,2899,0.997,461,6,1,0,39,0,59,0,50,5,10,5,1,6,3,4,1,126.01
2932,2932,0.749,234,8,0,0,34,1,39,1,50,4,12,5,1,3,3,13,0,0.0
2937,2937,0.563,275,6,1,0,32,1,43,0,68,3,13,5,3,7,3,19,1,0.0
2943,2943,0.166,296,8,1,0,32,1,42,0,72,5,9,5,1,5,3,18,1,0.0
2950,2950,0.499,222,7,1,0,32,0,37,0,50,6,13,5,1,2,3,14,0,0.0
2953,2953,0.75,403,8,1,0,25,3,53,0,78,7,15,5,1,6,3,16,1,0.0
2958,2958,0.023,172,2,0,0,32,0,34,0,50,2,12,5,3,8,3,4,0,0.0
2967,2967,0.916,293,7,1,0,32,1,43,0,50,5,11,5,1,5,5,7,1,0.0
2976,2976,0.083,324,0,1,0,32,1,45,0,50,2,4,5,3,1,1,16,0,0.0
2979,2979,0.499,326,5,1,0,34,1,45,1,51,6,11,5,1,2,4,16,2,0.0
3004,3004,0.749,408,5,1,0,32,1,59,0,57,4,13,5,3,7,3,17,1,0.0
3007,3007,0.333,481,8,1,0,27,0,58,0,50,5,14,5,3,8,3,18,0,0.0
3034,3034,0.041,412,6,1,0,44,2,52,0,66,6,16,5,1,3,3,10,2,0.0
3065,3065,0.514,304,6,1,1,34,1,43,0,50,5,9,5,1,6,4,14,0,0.0
3089,3089,0.25,466,7,1,0,0,2,57,0,50,4,13,5,1,3,3,15,2,0.0
3091,3091,0.416,358,8,1,1,32,0,52,0,59,5,15,5,1,7,3,12,2,0.0
3113,3113,0.749,156,6,0,1,32,2,31,0,51,5,9,5,1,5,4,18,1,0.0
3136,3136,0.974,390,5,1,0,44,2,51,0,50,7,15,5,1,8,3,17,0,0.0
3147,3147,0.666,320,7,0,0,34,0,46,0,50,5,15,5,1,8,3,4,1,0.0
3172,3172,0.275,321,4,1,0,32,2,44,0,50,3,13,5,1,5,3,9,0,0.0
3179,3179,0.416,343,2,1,0,32,3,47,0,60,6,16,5,1,4,3,13,0,0.0
3193,3193,0.311,203,1,1,0,32,1,38,1,50,2,2,5,3,1,1,13,0,0.0
3203,3203,0.566,157,4,1,0,0,2,31,0,90,6,15,5,3,9,4,4,2,0.0
3204,3204,0.166,161,6,1,1,32,0,33,0,90,5,8,5,1,5,4,20,1,1326.0
3219,3219,0.614,336,0,1,0,34,2,46,0,50,2,26,5,3,9,3,17,0,0.0
3258,3258,0.889,189,7,0,0,32,1,35,0,50,5,11,5,1,6,5,17,1,0.0
3304,3304,0.366,340,8,1,0,29,2,53,0,62,5,12,5,1,6,3,16,1,0.0
3306,3306,0.499,171,6,1,0,32,0,33,0,64,5,12,5,3,8,4,12,1,0.0
3312,3312,0.083,177,7,1,0,32,0,42,0,60,4,12,5,1,3,3,17,1,0.0
3321,3321,0.442,169,3,0,0,32,0,34,0,64,6,14,5,1,3,3,16,2,0.0
3323,3323,0.337,137,6,0,1,32,0,37,0,100,5,8,5,1,4,4,20,1,0.0
3332,3332,0.592,410,4,1,0,44,2,52,0,80,4,13,5,3,7,3,16,1,0.0
3355,3355,0.764,407,4,1,0,39,0,85,0,50,5,9,5,1,5,4,7,2,0.0
3372,3372,0.196,363,6,0,0,32,1,49,1,85,7,8,5,1,5,4,16,2,0.0
3406,3406,1.0,176,6,1,0,32,1,33,0,50,7,10,5,1,5,5,11,1,0.0
3446,3446,0.818,337,7,1,0,32,1,49,0,55,4,13,5,1,5,3,14,1,6420.754985
3449,3449,0.499,523,8,0,1,0,2,61,0,50,5,12,5,3,7,3,14,1,0.0
3465,3465,0.77,419,8,1,0,25,3,56,0,53,5,10,5,1,5,5,15,1,0.0
3470,3470,0.083,445,6,1,0,32,1,55,0,50,3,14,5,1,3,3,12,1,0.0
3519,3519,0.916,415,8,1,0,32,1,52,0,50,5,12,5,1,7,3,12,0,0.0
3538,3538,0.348,201,7,0,1,32,1,35,0,66,5,7,5,1,4,4,11,0,0.0
3546,3546,0.166,106,5,0,1,10,1,29,0,95,2,4,5,3,1,1,3,1,0.0
3553,3553,0.151,395,5,0,0,29,0,52,1,50,5,12,5,1,7,3,15,1,0.0
3558,3558,0.284,117,5,1,0,10,1,27,0,85,5,9,5,1,5,4,13,1,0.0
3561,3561,0.249,397,8,1,0,32,0,60,0,50,5,7,5,1,3,3,11,1,0.0
3571,3571,0.106,329,6,0,0,32,2,49,0,50,4,13,5,1,5,3,10,1,0.0
3573,3573,0.546,288,3,0,0,32,1,43,0,50,2,2,5,3,1,1,9,1,1418.610272
3575,3575,0.083,283,7,0,0,32,0,42,0,90,6,18,5,1,4,3,15,0,0.0
3585,3585,0.931,426,1,1,0,0,2,53,0,50,2,5,5,3,1,1,3,1,0.0
3601,3601,0.333,489,0,1,0,34,0,60,0,56,3,14,5,3,8,3,8,2,0.0
3607,3607,0.583,443,2,1,0,0,2,55,0,50,5,17,5,3,9,3,6,2,0.0
3630,3630,0.058,293,3,1,0,36,1,43,0,85,0,12,5,1,2,0,4,1,0.0
3636,3636,0.333,178,2,1,0,32,1,36,0,54,4,11,5,1,2,3,5,1,0.0
3647,3647,0.833,149,6,0,0,32,1,31,0,57,5,5,5,1,4,2,15,1,0.0
3675,3675,0.039,470,0,1,0,32,1,57,0,50,3,13,5,3,8,3,13,0,0.0
3681,3681,0.166,87,4,0,1,32,1,26,0,118,2,4,5,3,1,1,18,1,0.0
3717,3717,0.583,41,7,1,0,10,1,24,0,100,5,9,5,1,5,4,13,0,0.0
3735,3735,0.291,133,5,1,0,29,2,35,0,112,3,13,5,1,5,3,9,1,0.0
3762,3762,0.125,658,7,1,0,39,0,82,0,50,5,10,5,1,5,5,7,1,0.0
3777,3777,0.25,63,8,1,1,32,1,25,0,80,5,9,5,1,4,4,13,1,0.0
3780,3780,0.426,286,7,1,0,34,1,44,0,50,5,11,5,1,6,5,19,1,0.0
